0.0000000000	0.0000000000	125.0000000000	127.0000000000	0.0000000000	0.6319512769	0.0000000000	0.3680487231	2.3583187544	21.9496327298	0.0000000000
0.0000000000	0.0000000000	125.0000000000	128.0000000000	0.5395741957	0.4604258043	0.0000000000	0.0000000000	2.3052117935	21.9496327298	0.0000000000
0.0000000000	0.0000000000	125.0000000000	128.0000000000	0.0000000000	0.0000000000	0.5395741957	0.4604258043	2.3052117935	21.9496327298	0.0000000000
0.0000000000	0.0000000000	125.0000000000	129.0000000000	0.0000000000	0.3680487231	0.0000000000	0.6319512769	2.5099076487	21.9496327298	0.0000000000
0.0000000000	0.0000000000	127.0000000000	129.0000000000	0.3938169920	0.0000000000	0.6061830080	0.0000000000	2.4363972731	21.9496327298	0.0000000000
0.0000000000	0.0000000000	127.0000000000	128.0000000000	0.0000000000	0.0000000000	0.5235948842	0.4764051158	2.2534431381	21.9496327298	0.0000000000
0.0000000000	0.0000000000	127.0000000000	128.0000000000	0.5235948842	0.4764051158	0.0000000000	0.0000000000	2.2534431381	21.9496327298	0.0000000000
0.0000000000	0.0000000000	127.0000000000	127.0000000000	0.6061830080	0.0000000000	0.3938169920	0.0000000000	2.4363972731	21.9496327298	0.0000000000
0.0000000000	0.0000000000	125.0000000000	127.0000000000	0.0000000000	0.6319512769	0.0000000000	0.3680487231	3.0913019175	21.9496327298	0.0000000000
1.0000000000	0.0026582278	123.0000000000	117.0000000000	0.2688828155	0.0000000000	0.7311171845	0.0000000000	2.3368951938	323.7250215376	0.0000000000
1.0000000000	0.0026582278	122.0000000000	118.0000000000	0.6798829385	0.3201170615	-0.0000000000	-0.0000000000	1.7445310908	323.7250215376	0.0000000000
1.0000000000	0.0026582278	122.0000000000	118.0000000000	0.8599063903	0.0000000000	0.1400936097	0.0000000000	2.6419941116	323.7250215376	0.0000000000
1.0000000000	0.0026582278	121.0000000000	118.0000000000	0.3135358587	0.0000000000	0.6864641413	0.0000000000	3.1760675883	323.7250215376	0.0000000000
1.0000000000	0.0026582278	120.0000000000	119.0000000000	0.4789285966	0.5210714034	0.0000000000	0.0000000000	2.4348419942	323.7250215376	0.0000000000
1.0000000000	0.0026582278	119.0000000000	119.0000000000	0.0000000000	0.6199235927	0.0000000000	0.3800764073	3.3966149652	323.7250215376	0.0000000000
1.0000000000	0.0026582278	119.0000000000	119.0000000000	0.0000000000	0.0000000000	0.7294735329	0.2705264671	2.9273849148	323.7250215376	0.0000000000
1.0000000000	0.0026582278	119.0000000000	120.0000000000	0.7411490259	0.0000000000	0.2588509741	0.0000000000	3.2414864342	323.7250215376	0.0000000000
1.0000000000	0.0026582278	118.0000000000	121.0000000000	0.6773746246	0.3226253754	0.0000000000	0.0000000000	3.6664233500	323.7250215376	0.0000000000
1.0000000000	0.0026582278	117.0000000000	121.0000000000	0.0000000000	0.5970793564	0.0000000000	0.4029206436	3.1549512237	323.7250215376	0.0000000000
1.0000000000	0.0026582278	117.0000000000	121.0000000000	0.0000000000	0.0000000000	0.4239091526	0.5760908474	4.8069914074	323.7250215376	0.0000000000
1.0000000000	0.0026582278	116.0000000000	122.0000000000	0.0000000000	0.0562795413	0.0000000000	0.9437204587	3.1021051825	323.7250215376	0.0000000000
1.0000000000	0.0026582278	116.0000000000	123.0000000000	0.0307944963	0.9692055037	0.0000000000	0.0000000000	3.2383247444	323.7250215376	0.0000000000
1.0000000000	0.0026582278	116.0000000000	123.0000000000	0.0000000000	0.0000000000	0.4865301788	0.5134698212	6.1027670253	323.7250215376	0.0000000000
1.0000000000	0.0026582278	116.0000000000	124.0000000000	0.0000000000	0.0000000000	0.8526406194	0.1473593806	4.6590865574	323.7250215376	0.0000000000
